Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,TSTGroupID,TSTMin,TSTMax,TransitionGroupID,TransitionMultiplierTypeID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,Arizona/New Mexico Mountains,,,,,,,,,Fire: High Severity [Type],,0.0975,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Fire: Low Severity [Type],,0.7293,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Fire: Medium Severity [Type],,0.1733,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Intensification: Low to High [Type],,0.2500,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Intensification: Low to Medium [Type],,0.4167,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Intensification: Medium to High [Type],,0.0000,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Intensification: Open to High [Type],,0.0000,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Intensification: Open to Low [Type],,0.0000,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Intensification: Open to Medium [Type],,0.3333,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Urbanization: High [Type],,0.0741,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Urbanization: Low [Type],,0.3519,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Urbanization: Medium [Type],,0.1667,,,,,
,,Arizona/New Mexico Mountains,,,,,,,,,Urbanization: Open [Type],,0.4074,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Ag Contraction: Cropland,,0.1887,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Ag Contraction: Pasture,,0.8113,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Ag Expansion: Cropland [Type],,0.8843,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Ag Expansion: Pasture [Type],,0.1157,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Fire: High Severity [Type],,0.0360,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Fire: Low Severity [Type],,0.8430,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Fire: Medium Severity [Type],,0.1210,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Intensification: Low to High [Type],,0.2647,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Intensification: Low to Medium [Type],,0.2941,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Intensification: Medium to High [Type],,0.0000,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Intensification: Open to High [Type],,0.0588,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Intensification: Open to Low [Type],,0.0588,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Intensification: Open to Medium [Type],,0.3235,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Urbanization: High [Type],,0.0548,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Urbanization: Low [Type],,0.2055,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Urbanization: Medium [Type],,0.3425,,,,,
,,Arizona/New Mexico Plateau,,,,,,,,,Urbanization: Open [Type],,0.3973,,,,,
,,Arkansas Valley,,,,,,,,,Ag Contraction: Cropland,,0.0045,,,,,
,,Arkansas Valley,,,,,,,,,Ag Contraction: Pasture,,0.9955,,,,,
,,Arkansas Valley,,,,,,,,,Ag Expansion: Cropland [Type],,0.0704,,,,,
,,Arkansas Valley,,,,,,,,,Ag Expansion: Pasture [Type],,0.9296,,,,,
,,Arkansas Valley,,,,,,,,,Fire: High Severity [Type],,0.0053,,,,,
,,Arkansas Valley,,,,,,,,,Fire: Low Severity [Type],,0.9406,,,,,
,,Arkansas Valley,,,,,,,,,Fire: Medium Severity [Type],,0.0541,,,,,
,,Arkansas Valley,,,,,,,,,Intensification: Low to High [Type],,0.0435,,,,,
,,Arkansas Valley,,,,,,,,,Intensification: Low to Medium [Type],,0.2174,,,,,
,,Arkansas Valley,,,,,,,,,Intensification: Medium to High [Type],,0.0435,,,,,
,,Arkansas Valley,,,,,,,,,Intensification: Open to High [Type],,0.0870,,,,,
,,Arkansas Valley,,,,,,,,,Intensification: Open to Low [Type],,0.0870,,,,,
,,Arkansas Valley,,,,,,,,,Intensification: Open to Medium [Type],,0.5217,,,,,
,,Arkansas Valley,,,,,,,,,Urbanization: High [Type],,0.1286,,,,,
,,Arkansas Valley,,,,,,,,,Urbanization: Low [Type],,0.2357,,,,,
,,Arkansas Valley,,,,,,,,,Urbanization: Medium [Type],,0.3143,,,,,
,,Arkansas Valley,,,,,,,,,Urbanization: Open [Type],,0.3214,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Ag Contraction: Cropland,,0.3846,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Ag Contraction: Pasture,,0.6154,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Ag Expansion: Cropland [Type],,0.8095,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Ag Expansion: Pasture [Type],,0.1905,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Fire: High Severity [Type],,0.1512,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Fire: Low Severity [Type],,0.6852,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Fire: Medium Severity [Type],,0.1636,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Intensification: Low to High [Type],,0.0654,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Intensification: Low to Medium [Type],,0.0841,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Intensification: Medium to High [Type],,0.0374,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Intensification: Open to High [Type],,0.0467,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Intensification: Open to Low [Type],,0.1682,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Intensification: Open to Medium [Type],,0.5981,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Urbanization: High [Type],,0.0707,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Urbanization: Low [Type],,0.3441,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Urbanization: Medium [Type],,0.2122,,,,,
,,Atlantic Coastal Pine Barrens,,,,,,,,,Urbanization: Open [Type],,0.3730,,,,,
,,Blue Mountains,,,,,,,,,Ag Contraction: Cropland,,0.3793,,,,,
,,Blue Mountains,,,,,,,,,Ag Contraction: Pasture,,0.6207,,,,,
,,Blue Mountains,,,,,,,,,Ag Expansion: Cropland [Type],,0.8983,,,,,
,,Blue Mountains,,,,,,,,,Ag Expansion: Pasture [Type],,0.1017,,,,,
,,Blue Mountains,,,,,,,,,Fire: High Severity [Type],,0.0812,,,,,
,,Blue Mountains,,,,,,,,,Fire: Low Severity [Type],,0.7337,,,,,
,,Blue Mountains,,,,,,,,,Fire: Medium Severity [Type],,0.1850,,,,,
,,Blue Mountains,,,,,,,,,Intensification: Low to High [Type],,0.0000,,,,,
,,Blue Mountains,,,,,,,,,Intensification: Low to Medium [Type],,1.0000,,,,,
,,Blue Mountains,,,,,,,,,Intensification: Medium to High [Type],,0.0000,,,,,
,,Blue Mountains,,,,,,,,,Intensification: Open to High [Type],,0.0000,,,,,
,,Blue Mountains,,,,,,,,,Intensification: Open to Low [Type],,0.0000,,,,,
,,Blue Mountains,,,,,,,,,Intensification: Open to Medium [Type],,0.0000,,,,,
,,Blue Mountains,,,,,,,,,Urbanization: High [Type],,0.0417,,,,,
,,Blue Mountains,,,,,,,,,Urbanization: Low [Type],,0.3750,,,,,
,,Blue Mountains,,,,,,,,,Urbanization: Medium [Type],,0.1667,,,,,
,,Blue Mountains,,,,,,,,,Urbanization: Open [Type],,0.4167,,,,,
,,Blue Ridge,,,,,,,,,Ag Contraction: Cropland,,0.0000,,,,,
,,Blue Ridge,,,,,,,,,Ag Contraction: Pasture,,1.0000,,,,,
,,Blue Ridge,,,,,,,,,Ag Expansion: Cropland [Type],,0.0857,,,,,
,,Blue Ridge,,,,,,,,,Ag Expansion: Pasture [Type],,0.9143,,,,,
,,Blue Ridge,,,,,,,,,Fire: High Severity [Type],,0.0416,,,,,
,,Blue Ridge,,,,,,,,,Fire: Low Severity [Type],,0.8265,,,,,
,,Blue Ridge,,,,,,,,,Fire: Medium Severity [Type],,0.1318,,,,,
,,Blue Ridge,,,,,,,,,Intensification: Low to High [Type],,0.1333,,,,,
,,Blue Ridge,,,,,,,,,Intensification: Low to Medium [Type],,0.2333,,,,,
,,Blue Ridge,,,,,,,,,Intensification: Medium to High [Type],,0.0000,,,,,
,,Blue Ridge,,,,,,,,,Intensification: Open to High [Type],,0.0667,,,,,
,,Blue Ridge,,,,,,,,,Intensification: Open to Low [Type],,0.2333,,,,,
,,Blue Ridge,,,,,,,,,Intensification: Open to Medium [Type],,0.3333,,,,,
,,Blue Ridge,,,,,,,,,Urbanization: High [Type],,0.0256,,,,,
,,Blue Ridge,,,,,,,,,Urbanization: Low [Type],,0.1880,,,,,
,,Blue Ridge,,,,,,,,,Urbanization: Medium [Type],,0.1197,,,,,
,,Blue Ridge,,,,,,,,,Urbanization: Open [Type],,0.6667,,,,,
,,Boston Mountains,,,,,,,,,Ag Contraction: Cropland,,0.0000,,,,,
,,Boston Mountains,,,,,,,,,Ag Contraction: Pasture,,1.0000,,,,,
,,Boston Mountains,,,,,,,,,Ag Expansion: Cropland [Type],,0.0000,,,,,
,,Boston Mountains,,,,,,,,,Ag Expansion: Pasture [Type],,1.0000,,,,,
,,Boston Mountains,,,,,,,,,Fire: High Severity [Type],,0.0240,,,,,
,,Boston Mountains,,,,,,,,,Fire: Low Severity [Type],,0.9237,,,,,
,,Boston Mountains,,,,,,,,,Fire: Medium Severity [Type],,0.0523,,,,,
,,Boston Mountains,,,,,,,,,Intensification: Low to High [Type],,1.0000,,,,,
,,Boston Mountains,,,,,,,,,Intensification: Low to Medium [Type],,0.0000,,,,,
,,Boston Mountains,,,,,,,,,Intensification: Medium to High [Type],,0.0000,,,,,
,,Boston Mountains,,,,,,,,,Intensification: Open to High [Type],,0.0000,,,,,
,,Boston Mountains,,,,,,,,,Intensification: Open to Low [Type],,0.0000,,,,,
,,Boston Mountains,,,,,,,,,Intensification: Open to Medium [Type],,0.0000,,,,,
,,Boston Mountains,,,,,,,,,Urbanization: High [Type],,0.0000,,,,,
,,Boston Mountains,,,,,,,,,Urbanization: Low [Type],,0.1429,,,,,
,,Boston Mountains,,,,,,,,,Urbanization: Medium [Type],,0.2857,,,,,
,,Boston Mountains,,,,,,,,,Urbanization: Open [Type],,0.5714,,,,,
,,Canadian Rockies,,,,,,,,,Ag Contraction: Cropland,,0.0000,,,,,
,,Canadian Rockies,,,,,,,,,Ag Contraction: Pasture,,1.0000,,,,,
,,Canadian Rockies,,,,,,,,,Ag Expansion: Cropland [Type],,1.0000,,,,,
,,Canadian Rockies,,,,,,,,,Ag Expansion: Pasture [Type],,0.0000,,,,,
,,Canadian Rockies,,,,,,,,,Fire: High Severity [Type],,0.2776,,,,,
,,Canadian Rockies,,,,,,,,,Fire: Low Severity [Type],,0.4695,,,,,
,,Canadian Rockies,,,,,,,,,Fire: Medium Severity [Type],,0.2528,,,,,
,,Canadian Rockies,,,,,,,,,Intensification: Low to High [Type],,0.0000,,,,,
,,Canadian Rockies,,,,,,,,,Intensification: Low to Medium [Type],,0.0000,,,,,
,,Canadian Rockies,,,,,,,,,Intensification: Medium to High [Type],,0.0000,,,,,
,,Canadian Rockies,,,,,,,,,Intensification: Open to High [Type],,0.0000,,,,,
,,Canadian Rockies,,,,,,,,,Intensification: Open to Low [Type],,1.0000,,,,,
,,Canadian Rockies,,,,,,,,,Intensification: Open to Medium [Type],,0.0000,,,,,
,,Canadian Rockies,,,,,,,,,Urbanization: High [Type],,0.0000,,,,,
,,Canadian Rockies,,,,,,,,,Urbanization: Low [Type],,0.5000,,,,,
,,Canadian Rockies,,,,,,,,,Urbanization: Medium [Type],,0.0000,,,,,
,,Canadian Rockies,,,,,,,,,Urbanization: Open [Type],,0.5000,,,,,
,,Cascades,,,,,,,,,Ag Contraction: Cropland,,0.0000,,,,,
,,Cascades,,,,,,,,,Ag Contraction: Pasture,,1.0000,,,,,
,,Cascades,,,,,,,,,Ag Expansion: Cropland [Type],,0.2222,,,,,
,,Cascades,,,,,,,,,Ag Expansion: Pasture [Type],,0.7778,,,,,
,,Cascades,,,,,,,,,Fire: High Severity [Type],,0.1630,,,,,
,,Cascades,,,,,,,,,Fire: Low Severity [Type],,0.6191,,,,,
,,Cascades,,,,,,,,,Fire: Medium Severity [Type],,0.2179,,,,,
,,Cascades,,,,,,,,,Intensification: Low to High [Type],,0.0000,,,,,
,,Cascades,,,,,,,,,Intensification: Low to Medium [Type],,0.0000,,,,,
,,Cascades,,,,,,,,,Intensification: Medium to High [Type],,0.0000,,,,,
,,Cascades,,,,,,,,,Intensification: Open to High [Type],,0.0000,,,,,
,,Cascades,,,,,,,,,Intensification: Open to Low [Type],,1.0000,,,,,
,,Cascades,,,,,,,,,Intensification: Open to Medium [Type],,0.0000,,,,,
,,Cascades,,,,,,,,,Urbanization: High [Type],,0.7500,,,,,
,,Cascades,,,,,,,,,Urbanization: Low [Type],,0.0000,,,,,
,,Cascades,,,,,,,,,Urbanization: Medium [Type],,0.2500,,,,,
,,Cascades,,,,,,,,,Urbanization: Open [Type],,0.0000,,,,,
,,Central Appalachians,,,,,,,,,Ag Contraction: Cropland,,0.0048,,,,,
,,Central Appalachians,,,,,,,,,Ag Contraction: Pasture,,0.9952,,,,,
,,Central Appalachians,,,,,,,,,Ag Expansion: Cropland [Type],,0.1746,,,,,
,,Central Appalachians,,,,,,,,,Ag Expansion: Pasture [Type],,0.8254,,,,,
,,Central Appalachians,,,,,,,,,Fire: High Severity [Type],,0.0165,,,,,
,,Central Appalachians,,,,,,,,,Fire: Low Severity [Type],,0.8491,,,,,
,,Central Appalachians,,,,,,,,,Fire: Medium Severity [Type],,0.1344,,,,,
,,Central Appalachians,,,,,,,,,Intensification: Low to High [Type],,0.0000,,,,,
,,Central Appalachians,,,,,,,,,Intensification: Low to Medium [Type],,0.1176,,,,,
,,Central Appalachians,,,,,,,,,Intensification: Medium to High [Type],,0.0588,,,,,
,,Central Appalachians,,,,,,,,,Intensification: Open to High [Type],,0.1176,,,,,
,,Central Appalachians,,,,,,,,,Intensification: Open to Low [Type],,0.0588,,,,,
,,Central Appalachians,,,,,,,,,Intensification: Open to Medium [Type],,0.6471,,,,,
,,Central Appalachians,,,,,,,,,Urbanization: High [Type],,0.0978,,,,,
,,Central Appalachians,,,,,,,,,Urbanization: Low [Type],,0.2500,,,,,
,,Central Appalachians,,,,,,,,,Urbanization: Medium [Type],,0.1957,,,,,
,,Central Appalachians,,,,,,,,,Urbanization: Open [Type],,0.4565,,,,,
,,Central Basin and Range,,,,,,,,,Ag Contraction: Cropland,,0.6142,,,,,
,,Central Basin and Range,,,,,,,,,Ag Contraction: Pasture,,0.3858,,,,,
,,Central Basin and Range,,,,,,,,,Ag Expansion: Cropland [Type],,0.9322,,,,,
,,Central Basin and Range,,,,,,,,,Ag Expansion: Pasture [Type],,0.0678,,,,,
,,Central Basin and Range,,,,,,,,,Fire: High Severity [Type],,0.0711,,,,,
,,Central Basin and Range,,,,,,,,,Fire: Low Severity [Type],,0.6759,,,,,
,,Central Basin and Range,,,,,,,,,Fire: Medium Severity [Type],,0.2529,,,,,
,,Central Basin and Range,,,,,,,,,Intensification: Low to High [Type],,0.1538,,,,,
,,Central Basin and Range,,,,,,,,,Intensification: Low to Medium [Type],,0.1385,,,,,
,,Central Basin and Range,,,,,,,,,Intensification: Medium to High [Type],,0.0769,,,,,
,,Central Basin and Range,,,,,,,,,Intensification: Open to High [Type],,0.1077,,,,,
,,Central Basin and Range,,,,,,,,,Intensification: Open to Low [Type],,0.1077,,,,,
,,Central Basin and Range,,,,,,,,,Intensification: Open to Medium [Type],,0.4154,,,,,
,,Central Basin and Range,,,,,,,,,Urbanization: High [Type],,0.0958,,,,,
,,Central Basin and Range,,,,,,,,,Urbanization: Low [Type],,0.3318,,,,,
,,Central Basin and Range,,,,,,,,,Urbanization: Medium [Type],,0.2617,,,,,
,,Central Basin and Range,,,,,,,,,Urbanization: Open [Type],,0.3107,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Ag Contraction: Cropland,,0.6897,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Ag Contraction: Pasture,,0.3103,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Ag Expansion: Cropland [Type],,0.9870,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Ag Expansion: Pasture [Type],,0.0130,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Fire: High Severity [Type],,0.1100,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Fire: Low Severity [Type],,0.6538,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Fire: Medium Severity [Type],,0.2362,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Intensification: Low to High [Type],,0.1910,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Intensification: Low to Medium [Type],,0.1348,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Intensification: Medium to High [Type],,0.0112,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Intensification: Open to High [Type],,0.1573,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Intensification: Open to Low [Type],,0.1348,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Intensification: Open to Medium [Type],,0.3708,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Urbanization: High [Type],,0.0897,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Urbanization: Low [Type],,0.2692,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Urbanization: Medium [Type],,0.2436,,,,,
,,Central California Foothills and Coastal Mountains,,,,,,,,,Urbanization: Open [Type],,0.3974,,,,,
,,Central California Valley,,,,,,,,,Ag Contraction: Cropland,,0.8926,,,,,
,,Central California Valley,,,,,,,,,Ag Contraction: Pasture,,0.1074,,,,,
,,Central California Valley,,,,,,,,,Ag Expansion: Cropland [Type],,0.9696,,,,,
,,Central California Valley,,,,,,,,,Ag Expansion: Pasture [Type],,0.0304,,,,,
,,Central California Valley,,,,,,,,,Fire: High Severity [Type],,0.0810,,,,,
,,Central California Valley,,,,,,,,,Fire: Low Severity [Type],,0.8032,,,,,
,,Central California Valley,,,,,,,,,Fire: Medium Severity [Type],,0.1157,,,,,
,,Central California Valley,,,,,,,,,Intensification: Low to High [Type],,0.0924,,,,,
,,Central California Valley,,,,,,,,,Intensification: Low to Medium [Type],,0.0672,,,,,
,,Central California Valley,,,,,,,,,Intensification: Medium to High [Type],,0.0168,,,,,
,,Central California Valley,,,,,,,,,Intensification: Open to High [Type],,0.1681,,,,,
,,Central California Valley,,,,,,,,,Intensification: Open to Low [Type],,0.1429,,,,,
,,Central California Valley,,,,,,,,,Intensification: Open to Medium [Type],,0.5126,,,,,
,,Central California Valley,,,,,,,,,Urbanization: High [Type],,0.0980,,,,,
,,Central California Valley,,,,,,,,,Urbanization: Low [Type],,0.2529,,,,,
,,Central California Valley,,,,,,,,,Urbanization: Medium [Type],,0.3392,,,,,
,,Central California Valley,,,,,,,,,Urbanization: Open [Type],,0.3098,,,,,
,,Central Corn Belt Plains,,,,,,,,,Ag Contraction: Cropland,,0.7113,,,,,
,,Central Corn Belt Plains,,,,,,,,,Ag Contraction: Pasture,,0.2887,,,,,
,,Central Corn Belt Plains,,,,,,,,,Ag Expansion: Cropland [Type],,0.7188,,,,,
,,Central Corn Belt Plains,,,,,,,,,Ag Expansion: Pasture [Type],,0.2813,,,,,
,,Central Corn Belt Plains,,,,,,,,,Fire: High Severity [Type],,0.0000,,,,,
,,Central Corn Belt Plains,,,,,,,,,Fire: Low Severity [Type],,1.0000,,,,,
,,Central Corn Belt Plains,,,,,,,,,Fire: Medium Severity [Type],,0.0000,,,,,
,,Central Corn Belt Plains,,,,,,,,,Intensification: Low to High [Type],,0.2381,,,,,
,,Central Corn Belt Plains,,,,,,,,,Intensification: Low to Medium [Type],,0.2540,,,,,
,,Central Corn Belt Plains,,,,,,,,,Intensification: Medium to High [Type],,0.0317,,,,,
,,Central Corn Belt Plains,,,,,,,,,Intensification: Open to High [Type],,0.0873,,,,,
,,Central Corn Belt Plains,,,,,,,,,Intensification: Open to Low [Type],,0.0635,,,,,
,,Central Corn Belt Plains,,,,,,,,,Intensification: Open to Medium [Type],,0.3254,,,,,
,,Central Corn Belt Plains,,,,,,,,,Urbanization: High [Type],,0.1113,,,,,
,,Central Corn Belt Plains,,,,,,,,,Urbanization: Low [Type],,0.3150,,,,,
,,Central Corn Belt Plains,,,,,,,,,Urbanization: Medium [Type],,0.2124,,,,,
,,Central Corn Belt Plains,,,,,,,,,Urbanization: Open [Type],,0.3613,,,,,
,,Central Great Plains,,,,,,,,,Ag Contraction: Cropland,,0.9689,,,,,
,,Central Great Plains,,,,,,,,,Ag Contraction: Pasture,,0.0311,,,,,
,,Central Great Plains,,,,,,,,,Ag Expansion: Cropland [Type],,0.9517,,,,,
,,Central Great Plains,,,,,,,,,Ag Expansion: Pasture [Type],,0.0483,,,,,
,,Central Great Plains,,,,,,,,,Fire: High Severity [Type],,0.0134,,,,,
,,Central Great Plains,,,,,,,,,Fire: Low Severity [Type],,0.8159,,,,,
,,Central Great Plains,,,,,,,,,Fire: Medium Severity [Type],,0.1707,,,,,
,,Central Great Plains,,,,,,,,,Intensification: Low to High [Type],,0.1450,,,,,
,,Central Great Plains,,,,,,,,,Intensification: Low to Medium [Type],,0.1374,,,,,
,,Central Great Plains,,,,,,,,,Intensification: Medium to High [Type],,0.0458,,,,,
,,Central Great Plains,,,,,,,,,Intensification: Open to High [Type],,0.0840,,,,,
,,Central Great Plains,,,,,,,,,Intensification: Open to Low [Type],,0.1221,,,,,
,,Central Great Plains,,,,,,,,,Intensification: Open to Medium [Type],,0.4656,,,,,
,,Central Great Plains,,,,,,,,,Urbanization: High [Type],,0.0774,,,,,
,,Central Great Plains,,,,,,,,,Urbanization: Low [Type],,0.2857,,,,,
,,Central Great Plains,,,,,,,,,Urbanization: Medium [Type],,0.2817,,,,,
,,Central Great Plains,,,,,,,,,Urbanization: Open [Type],,0.3552,,,,,
,,Central Irregular Plains,,,,,,,,,Ag Contraction: Cropland,,0.0913,,,,,
,,Central Irregular Plains,,,,,,,,,Ag Contraction: Pasture,,0.9087,,,,,
,,Central Irregular Plains,,,,,,,,,Ag Expansion: Cropland [Type],,0.4236,,,,,
,,Central Irregular Plains,,,,,,,,,Ag Expansion: Pasture [Type],,0.5764,,,,,
,,Central Irregular Plains,,,,,,,,,Fire: High Severity [Type],,0.0000,,,,,
,,Central Irregular Plains,,,,,,,,,Fire: Low Severity [Type],,0.9946,,,,,
,,Central Irregular Plains,,,,,,,,,Fire: Medium Severity [Type],,0.0054,,,,,
,,Central Irregular Plains,,,,,,,,,Intensification: Low to High [Type],,0.2286,,,,,
,,Central Irregular Plains,,,,,,,,,Intensification: Low to Medium [Type],,0.1000,,,,,
,,Central Irregular Plains,,,,,,,,,Intensification: Medium to High [Type],,0.0429,,,,,
,,Central Irregular Plains,,,,,,,,,Intensification: Open to High [Type],,0.1143,,,,,
,,Central Irregular Plains,,,,,,,,,Intensification: Open to Low [Type],,0.0714,,,,,
,,Central Irregular Plains,,,,,,,,,Intensification: Open to Medium [Type],,0.4429,,,,,
,,Central Irregular Plains,,,,,,,,,Urbanization: High [Type],,0.0994,,,,,
,,Central Irregular Plains,,,,,,,,,Urbanization: Low [Type],,0.3039,,,,,
,,Central Irregular Plains,,,,,,,,,Urbanization: Medium [Type],,0.2514,,,,,
,,Central Irregular Plains,,,,,,,,,Urbanization: Open [Type],,0.3453,,,,,
,,Chihuahuan Deserts,,,,,,,,,Ag Contraction: Cropland,,0.9231,,,,,
,,Chihuahuan Deserts,,,,,,,,,Ag Contraction: Pasture,,0.0769,,,,,
,,Chihuahuan Deserts,,,,,,,,,Ag Expansion: Cropland [Type],,1.0000,,,,,
,,Chihuahuan Deserts,,,,,,,,,Ag Expansion: Pasture [Type],,0.0000,,,,,
,,Chihuahuan Deserts,,,,,,,,,Fire: High Severity [Type],,0.0150,,,,,
,,Chihuahuan Deserts,,,,,,,,,Fire: Low Severity [Type],,0.8264,,,,,
,,Chihuahuan Deserts,,,,,,,,,Fire: Medium Severity [Type],,0.1587,,,,,
,,Chihuahuan Deserts,,,,,,,,,Intensification: Low to High [Type],,0.2593,,,,,
,,Chihuahuan Deserts,,,,,,,,,Intensification: Low to Medium [Type],,0.1852,,,,,
,,Chihuahuan Deserts,,,,,,,,,Intensification: Medium to High [Type],,0.0370,,,,,
,,Chihuahuan Deserts,,,,,,,,,Intensification: Open to High [Type],,0.0370,,,,,
,,Chihuahuan Deserts,,,,,,,,,Intensification: Open to Low [Type],,0.0370,,,,,
,,Chihuahuan Deserts,,,,,,,,,Intensification: Open to Medium [Type],,0.4444,,,,,
,,Chihuahuan Deserts,,,,,,,,,Urbanization: High [Type],,0.0580,,,,,
